dli_number,full_name,gender,date_of_birth,aadhaar_number,email,mobile_number,alternate_mobile_number,city,state,pincode,father_name,mother_name,college,course,college_roll_number
DLI22SDA000001,Bhavesh Vardhan,Male,2005-12-09,332181960013,sharma.siblings@gmail.com,9838637940,8654235116,Delhi,Delhi,110559,Vijay Vardhan,Anita Vardhan,D.T.U.,Chemical Engineering,2K22/CH/32
DLI22SDA000002,Kunal Yadav,Male,2003-11-20,593103413164,sharma.siblings@gmail.com,7255341928,8276483503,Delhi,Delhi,110564,Naresh Yadav,Radha Yadav,Delhi Technological Uni  ,Production & Industrial Engineering,2K22/PI/184
DLI22SDA000003,Gaurav Dogra,Male,2002-07-21,724238849696,singh.family@yahoo.com,8287101226,9669784801,Faridabad,Haryana,110845,Dinesh Dogra,Suman Dogra,DTU,Biotechnology,2K22/BT/1
DLI22SDA000004,Shreyas Trivedi,Male,2001-02-28,489325288095,singh.family@yahoo.com,9154303911,6182278248,Ghaziabad,Uttar Pradesh,110638,Harish Trivedi,Suman Trivedi,Delhi Technological University,Environmental Engineering,2K22/EN/167
DLI22SDA000005,Devendra Paswan,Male,2002-02-08,315098393010,patel.home@gmail.com,9051834738,8997376311,Faridabad,Haryana,110656,Sanjay Paswan,Saroj Paswan,delhi technological university,Civil Engineering,2K22/CE/173
DLI22SDA000006,Mohit Mehta,Male,2003-02-08,338726247317,patel.home@gmail.com,9080132677,8602606474,Gurugram,Haryana,110872,Harish Mehta,Suman Mehta,Delhi Technological University,Civil Engineering,2K22/CE/149
DLI22SDA000007,Vijay Patil,Male,2005-01-19,788208121913,vijay.patil61@gmail.com,+919939909169,7435346247,Noida,Uttar Pradesh,110107,Vinod Patil,Kiran Patil,Delhi Technological Uni  ,Mechanical Engineering,2K22/ME/138
DLI22SDA000008,Shreyas Choudhary,Male,2004-06-03,354278498084,shreyas.choudhary94@gmail.com,+91 9241182449,8534874016,Noida,Uttar Pradesh,110005,Satish Choudhary,Nirmala Choudhary,Delhi Technological Uni  ,Electrical Engineering,2K22/EE/190
DLI22SDA000009,Chinmay Shah,Male,2001-01-04,128059826204,chinmay.shah56@gmail.com,09533158692,8226025634,New Delhi,Delhi,110160,Prakash Shah,Meena Shah,Delhi Technological University,Biotechnology,2K22/BT/90
DLI22SDA000010,Harish Gehlot,Male,2004-01-22,365414586850,harish.gehlot24@gmail.com,7294019655,6981693406,Delhi,Delhi,110883,Subhash Gehlot,Lata Gehlot,Delhi Technological University,Environmental Engineering,2K22/EN/85
DLI22SDA000011,Jignesh Vardhan,Male,2003-09-10,656482366299,jignesh.vardhan48@gmail.com,6804436995,6773872148,Faridabad,Haryana,110951,Rajendra Vardhan,Rajni Vardhan,Delhi Technological University,Computer Engineering,2K22/CO/38
DLI22SDA000012,Aditya Shekhawat,Male,2002-10-28,176936763201,aditya.shekhawat64@gmail.com,8287083172,6889579868,Gurugram,Haryana,110277,Vijay Shekhawat,Meena Shekhawat,delhi technological university,Information Technology,2K22/IT/197
DLI22SDA000013,Bhavesh Shekhawat,Male,2003-08-03,434558122362,bhavesh.gmail.com,9665876036,6909670546,Gurugram,Haryana,110889,Rajendra Shekhawat,Seema Shekhawat,Delhi Technological University,Software Engineering,2K22/SE/125
DLI22SDA000014,Ranvijay Shinde,Male,2002-12-06,729806990162,ranvijay.shinde69@gmail.com,8046537556,7641708053,Faridabad,Haryana,110100,Rajendra Shinde,Radha Shinde,delhi technological university,Production & Industrial Engineering,2K22/PI/40
DLI22SDA000015,Arjun Gohil,Male,2005-10-07,745299124190,arjun.gohil49@gmail.com,6631931491,9586518506,Gurugram,Haryana,110165,Pramod Gohil,Saroj Gohil,D.T.U.,Software Engineering,2K22/SE/46
DLI22SDA000016,Hardik Choudhary,Male,2002-08-14,945314737996,hardik.choudhary53@gmail.com,9752735454,7808313678,New Delhi,Delhi,110777,Ramesh Choudhary,Kavita Choudhary,Delhi Technological University,Software Engineering,2K22/SE/178
DLI22SDA000017,Kartik Rawat,Male,2003-08-18,856855744431,kartik.rawat34@gmail.com,+917182337498,7134352408,New Delhi,Delhi,110400,Kailash Rawat,Suman Rawat,DTU,Electrical Engineering,2K22/EE/164
DLI22SDA000018,Vivek Sharma,Male,2001-05-16,775204711671,vivek.sharma83@gmail.com,+91 9229413186,8867749649,Ghaziabad,Uttar Pradesh,110091,Harish Sharma,Nirmala Sharma,Delhi Technological University,Environmental Engineering,2K22/EN/21
DLI22SDA000019,Pankaj Trivedi,Male,2001-02-06,067974034471,pankaj.trivedi97@gmail.com,08493618324,8102499471,Gurugram,Haryana,110464,Devendra Trivedi,Sushma Trivedi,DTU,Mechanical Engineering,2K22/ME/154
DLI22SDA000020,Pawan Shah,Male,2003-10-09,013990490278,pawan.shah93@gmail.com,6429671756,7512567468,Delhi,Delhi,110715,Vijay Shah,Manju Shah,Delhi Technological University,Software Engineering,2K22/SE/132
